tree;area;d1;d2;h;cover;collapsed_cropsize;neighboiurhood_cropsize;n_neigh;long;diam;cowe;nseed;totalseedw;oneseedw;fweight;sunken;fa_4cone_chl;fa_apo;fa_mus;fa_mesophleps;fa_elachista;fa_nanodiscus;fa_megastigmus;x_lat;y_long
C002;SABCOL;715;654;554;42.2;13290;4;2;9.81;9.21;429.21;5.08;121.3;24.08;307.9;26.9;0.166666667;0;0.011627907;0.08;0;0.08;0.02;37000176;-6506195
C014;SABCOL;638;596;718;40.4;9484;4;1;9.5;9.38;399.58;5.8;97.11;16.8;302.47;28.32;0.3;0;0;0.04;0;0.21;0.01;37000206;-6506253
C017;SABCOL;742;620;838;60.7;30902;5;5;10.03;10.41;521.51;5.64;165.36;29.5;356.15;67.02;0.633333333;0;0.023255814;0.04;0;0.06;0;37000146;-6506412
C018;SABCOL;340;328;430;11.3;5374;4;4;10.68;10.41;516.2;5.98;120.65;20.23;395.54;58.44;0.333333333;0;0;0;0;0.02;0;37000166;-6506502
C024;SABCOL;284;218;238;5.3;1000;2;3;10.87;10.04;481.3;5.86;122.43;20.92;358.87;20.68;0.066666667;0;0;0.04;0.15;0.07;0.31;37000136;-6506532
C050;SABCOL;716;668;514;54.7;12840;5;2;10.19;9.13;405.76;5.52;108.4;19.85;297.36;66.81;0.6;0.011627907;0;0.04;0;0.02;0;37000051;-6506587
C054;SABCOL;378;308;408;4.35;3405;4;2;11.18;11.03;657.49;5.46;187.4;34.47;470.1;42.85;0.233333333;0;0;0.11;0;0.2;0;3700006;-6506673
C055;SABCOL;454;386;423;14.8;2543;4;2;9.87;9.74;442.49;4.74;124.44;27.04;318.05;61.74;0.1;0;0.011627907;0;0;0;0;37000712;-6506387
C056;SABCOL;575;655;537;34.6;15742;5;1;10.96;10.33;608.92;5.94;144.5;24.39;464.42;66.77;0.5;0;0.011627907;0;0;0.02;0;37000178;-6506571
C057;SABCOL;867;632;518;60.3;21826;5;2;9.89;10.56;593.9;5.9;126.75;21.67;467.15;59.6;0.233333333;0;0.034883721;0.04;0;0.1;0.04;37000179;-6506597
C065;SABCOL;486;448;552;29.5;10152;5;1;9.19;9.3;411.47;5.54;104.75;19.08;306.73;28.22;0.166666667;0.011627907;0.023255814;0.07;0;0;0.03;37000262;-6506575
C075;SABCOL;685;628;505;22.9;6602;4;5;9.51;10.07;503.02;6.04;139.21;23.14;363.81;34.38;0.2;0;0.151162791;0.28;0.03;0.05;0.28;37000332;-6506618
C083;SABCOL;490;334;489;25.4;10969;5;2;10.45;9.73;458.92;6.1;132.86;21.8;326.06;44.8;0.466666667;0.011627907;0;0.22;0.04;0.12;0.22;37000335;-6506171
C086;SABCOL;515;510;522;28.4;3805;5;3;10.06;10.36;523.11;4.8;106.71;22.31;416.4;47.11;0.1;0;0;0.03;0;0.09;0.01;37000477;-6506206
C106;SABCOL;469;363;567;15.8;6259;4;2;9.6;10.44;522.63;5.22;157.82;31.37;364.8;21.35;0.266666667;0;0;0.09;0.01;0.02;0.28;37000501;-6506396
C107;SABCOL;843;757;632;75.2;3466;4;2;9.11;9.48;388.48;6.24;104.11;16.81;284.37;35.54;0.133333333;0;0;0.08;0;0.02;0;37000847;-6506542
C111;SABCOL;285;282;263;9;3541;4;9;9.61;9.5;438.12;6.08;103.68;17.09;334.44;40.35;0.033333333;0;0;0;0;0;0;37000484;-6506512
C119;SABCOL;305;308;485;5.86;473;4;3;9.83;8.98;385.08;3.76;108.94;28.12;276.14;33.72;0;0;0;0.04;0.01;0;0.01;37000557;-650653
C121;SABCOL;300;295;505;20.4;6800;4;5;9.66;9.98;455.98;5.42;124.16;23.1;331.82;23.44;0.233333333;0;0.011627907;0;0;0.06;0;37000474;-6506613
